,robot_id,sum_running_time,avg_inst_temperature,sum_running_circles,avg_current_fluctuation,joint
38,Zu7250815,238737,54.60878011,157442.0,12.70771821,5
39,Zu7250797,236612,54.46823744,155912.0,14.95391825,5
40,Zu7250777,1317937,53.84555039999999,239780.0,11.70544074,5
41,Zu7210031,11698161,53.57603811,1086987.0,0.066331116,5
42,Zu7250813,243977,55.99279372,162472.0,13.72976451,5
43,Zu7210180,11901451,58.30110667,419829.0,6.987088841,5
0,Zu7210015,10664959,51.21689374,49687.0,0.582234982,6
1,Zu7210070,23654346,50.12813370000001,3908958.0,1.225599957,6
2,Zu12100040,1318601,51.005055,430505.0,13.04055,6
3,Zu3100091,13982800,50.11673,279680.1875,0.731579,6
4,Zu7250098,12819108,50.72668575,1860704.0,2.305007877,6
5,C7300104,58058,49.38356164,67398.0,14.97260274,6
6,C7300105,179417,47.70786517,177542.0,12.80898876,6
7,Zu12100319,567558,52.1111463,34276.6016,0.5606502010000001,6
8,Zu12110106,204055,52.77039031,15433.5,1.165796321,6
9,Zu7210079,9599314,53.00710885,105247.7031,0.339567,6
10,Zu3100177,18080651,51.76227,1190232.0,3.430525,6
11,Zu7210116,10437925,55.04624277,1632358.0,1.297425118,6
12,Zu7210007,10313728,58.88224218,3769925.0,5.844702467,6
13,Zu7250287,9732965,50.97060351,26243.5996,0.47051370200000003,6
14,Zu12100097,1132657,48.256565,585908.0,12.183819999999999,6
15,Zu3100212,16075144,52.045,391330.0,5.94814,6
16,Zu7250085,4569545,33.90645161,157254.4063,0.605806452,6
17,Zu3110009,12527521,53.57603205,209040.7969,0.35795649799999996,6
18,Zu18100074,10440440,50.28952372,36786.1016,0.54507475,6
19,Zu3100022,5528419,52.38839,524355.0,5.74231,6
20,Zu7270004,10618079,52.73389,90316.2969,0.376583,6
21,Zu12100236,11165534,50.0872104,38268.1016,0.182306661,6
22,Zu7260015,10173797,52.95774061,131060.2031,0.418977617,6
23,Zu7210133,15491980,54.88066101,2155858.0,1.465832961,6
24,Zu7250761,739960,49.51378641,131062.0,0.9184466020000001,6
25,Zu7250768,737551,49.42325581,126960.0,1.088372093,6
